firstname,lastname,ranking,age,year
Juan Martin,Del Potro,5,21,2009
Ernests,Gulbis,90,21,2009
Evgeny,Korolev,53,21,2009
Kei,Nishikori,25,21,2011
Cedrik Marcel,Stebe,81,21,2011
Grigor,Dimitrov,48,21,2012
Andrey,Kuznetsov,78,21,2012
Ryan,Harrison,100,21,2013
Bernard,Tomic,51,21,2013
Dominic,Thiem,39,21,2014
Jiri,Vesely,66,21,2014
Lucas,Pouille,78,21,2015
John,Alexander,29,22,1973
Jeff,Austin,56,22,1973
Paolo,Bertolucci,20,22,1973
Ross,Case,42,22,1973
Eddie,Dibbs,28,22,1973
Kjell,Johansson,61,22,1973
Antonio,Munoz,83,22,1973
Dick,Stockton,27,22,1973
Roscoe,Tanner,24,22,1973
Erik,Van Dillen,38,22,1973
Anand,Amritraj,87,22,1974
Jimmy,Connors,1,22,1974
Brian,Gottfried,33,22,1974
Sandy,Mayer,55,22,1974
Harold,Solomon,16,22,1974
Guillermo,Vilas,5,22,1974
Kim,Warwick,48,22,1974
Vijay,Amritraj,29,22,1975
Corrado,Barazzutti,40,22,1975
Jim,Delaney,73,22,1975
Jose,Higueras,46,22,1975
Raul,Ramirez,13,22,1975
Vijay,Amritraj,31,22,1976
Pat,Dupre,99,22,1976
Mark,Edmondson,35,22,1976
Vitas,Gerulaitis,18,22,1976
Paul,Kronk,87,22,1976
John,Lloyd,61,22,1976
Bernard,Mitton,65,22,1976
Ulrich,Pinner,71,22,1976
Balazs,Taroczy,31,22,1976
Colin,Dowdeswell,100,22,1977
Peter,Fleming,47,22,1977
Buster C,Mottram,20,22,1977
Victor,Pecci,39,22,1977
Butch,Walts,52,22,1977
Bjorn,Borg,2,22,1978
Hans,Gildemeister,39,22,1978
Gene,Mayer,64,22,1978
John,Sadri,84,22,1978
Nick,Saviano,72,22,1978
Bill,Scanlon,95,22,1978
Tomas,Smid,36,22,1978
Werner,Zirngibl,100,22,1978
Dominique,Bedel,68,22,1979
Chris,Lewis NZL,65,22,1979
Gianni,Ocleppo,31,22,1979
Vincent,Van Patten,43,22,1979
Jose Luis,Clerc,8,22,1980
Tony,Giammalva,72,22,1980
Shlomo,Glickstein,57,22,1980
Johan,Kriek,18,22,1980
Fernando,Luna,70,22,1980
Ricardo,Ycaza,73,22,1980
Fritz,Buehning,59,22,1983
John,Fitzgerald,78,22,1983
Alejandro,Ganzabal,92,22,1983
Andres,Gomez,15,22,1983
Damir,Keretic,69,22,1983
Ivan,Lendl,3,22,1983
Tim,Mayotte,29,22,1983
Cassio,Motta,86,22,1983
Yannick,Noah,9,22,1983
Claudio,Panatta,76,22,1983
Juan,Aguilera,19,22,1984
Scott,Davis,49,22,1984
Jan,Gunnarsson,48,22,1984
David,Pate,30,22,1984
Diego,Perez,52,22,1984
Shahar,Perkiss,76,22,1984
Ben,Testerman,22,22,1984
Matt,Anger,30,22,1985
Paul,Annacone,13,22,1985
Roberto,Arguello,69,22,1985
Francesco,Cancellotti,58,22,1985
Ken,Flach,60,22,1985
Sammy,Giammalva Jr,41,22,1985
Greg,Holmes,27,22,1985
Henri,Leconte,16,22,1985
Wally,Masur,100,22,1985
Joakim,Nystrom,11,22,1985
Libor,Pimek,34,22,1985
Robert,Seguso,56,22,1985
Thierry,Tulasne,23,22,1985
Slobodan,Zivojinovic,35,22,1985
Ronald,Agenor,74,22,1986
Jimmy,Arias,48,22,1986
Jordi,Arrese,97,22,1986
Jim,Grabb,94,22,1986
Jakob,Hlasek,32,22,1986
Martin,Jaite,17,22,1986
Francisco,Maciel,56,22,1986
Richard,Matuszewski,90,22,1986
Miloslav,Mecir,9,22,1986
Jim,Pugh,99,22,1986
Milan,Srejber,27,22,1986
Henrik,Sundstrom,77,22,1986
Mats,Wilander,3,22,1986
Francisco,Yunis,80,22,1986
Tarik,Benhabiles,65,22,1987
Jimmy,Brown,85,22,1987
Darren,Cahill,82,22,1987
Paolo,Cane,51,22,1987
Pat,Cash,7,22,1987
Guy,Forget,54,22,1987
John,Frawley,42,22,1987
Eric,Jelen,40,22,1987
Peter,Lundgren,26,22,1987
Amos,Mansdorf,27,22,1987
Claudio,Mezzadri,28,22,1987
Karel,Novacek,76,22,1987
Richey,Reneberg,79,22,1987
Derrick,Rostagno,60,22,1987
Emilio,Sanchez,17,22,1987
Branislav,Stankovic,86,22,1987
Marian,Vajda,46,22,1987
Mark,Woodforde,67,22,1987
Jay,Berger,34,22,1988
Andrei,Chesnokov,14,22,1988
Horacio,De La Pena,52,22,1988
Stefan,Edberg,5,22,1988
Patrik,Kuhnen,61,22,1988
Andrei,Olhovskiy,86,22,1988
Olli,Rahnasto,100,22,1988
Udo,Riglewski,93,22,1988
Jonas,Svensson,22,22,1988
Boris,Becker,2,22,1989
Marcelo,Filippini,43,22,1989
Magnus,Gustafsson,34,22,1989
Aaron,Krickstein,8,22,1989
Thomas,Muster,21,22,1989
Bruno,Oresar,88,22,1989
Claudio,Pistolesi,95,22,1989
Carl Uwe,Steeb,15,22,1989
Martin,Strelba,61,22,1989
Andrew,Sznajder,56,22,1989
Alexander,Volkov,50,22,1989
Jens,Woehrmann,55,22,1989
Jaime,Yzaga,23,22,1989
Omar,Camporese,45,22,1990
Tomas,Carbonell,76,22,1990
Francisco,Clavet,90,22,1990
Brian,Garrow,95,22,1990
Mark,Koevermans,48,22,1990
Petr,Korda,38,22,1990
Javier,Sanchez,70,22,1990
Horst,Skoff,26,22,1990
Michael,Stich,42,22,1990
Arnaud,Boetsch,54,22,1991
Alberto,Mancini,22,22,1991
Guillermo,Perez Roldan,40,22,1991
Cedric,Pioline,51,22,1991
Malivai,Washington,50,22,1991
David,Wheaton,17,22,1991
Bart,Wuyts,90,22,1991
Andre,Agassi,9,22,1992
Andrei,Cherkasov,32,22,1992
Jim,Courier,1,22,1992
Franco,Davin,46,22,1992
Jacco,Eltingh,78,22,1992
Richard,Fromberg,83,22,1992
Renzo,Furlan,53,22,1992
Magnus,Larsson,34,22,1992
Gabriel,Markus,56,22,1992
Todd,Martin,87,22,1992
Markus,Naewie,77,22,1992
Diego,Nargiso,88,22,1992
Jaime,Oncins,48,22,1992
Guillaume,Raoux,93,22,1992
Marc,Rosset,35,22,1992
Jan,Siemerink,57,22,1992
Sandon,Stolle,71,22,1992
Chuck,Adams,69,22,1993
Sergi,Bruguera,4,22,1993
Younes,El Aynaoui,51,22,1993
Wayne,Ferreira,22,22,1993
Goran,Ivanisevic,7,22,1993
Richard,Krajicek,15,22,1993
Nicklas,Kulti,46,22,1993
Fernando,Meligeni,99,22,1993
Jamie,Morgan,64,22,1993
Stefano,Pescosolido,59,22,1993
David,Rikl,95,22,1993
Pete,Sampras,1,22,1993
Grant,Stafford,86,22,1993
Jonathan,Stark,38,22,1993
Jonas,Bjorkman,50,22,1994
Michael,Chang,6,22,1994
Martin,Damm,100,22,1994
Marcos,Ondruska,98,22,1994
Joern,Renzenbrink,92,22,1994
Christian,Ruud,84,22,1994
Fabrice,Santoro,46,22,1994
Karim,Alami,73,22,1995
Alberto,Berasategui,32,22,1995
Kenneth,Carlsen,72,22,1995
Andrea,Gaudenzi,22,22,1995
Jerome,Golmard,88,22,1995
David,Prinosil,50,22,1995
Patrick,Rafter,66,22,1995
Lionel,Roux,96,22,1995
Greg,Rusedski,37,22,1995
Alex,Corretja,23,22,1996
Scott,Draper,95,22,1996
